"Miasto","Powiat","Województwo","Powierzchnia","Liczba ludności","Gęstość zaludnienia"
"Aleksandrów Kujawski","aleksandrowski","kujawsko-pomorskie",7.23,12270,1697
"Aleksandrów Łódzki","zgierski","łódzkie",13.82,21535,1558
"Alwernia","chrzanowski","małopolskie",8.88,3380,381
"Andrychów","wadowicki","małopolskie",10.33,20567,1991
"Annopol","kraśnicki","lubelskie",7.73,2572,333
"Augustów","augustowski","podlaskie",80.9,30270,374
"Babimost","zielonogórski","lubuskie",3.65,3923,1075
"Baborów","głubczycki","opolskie",11.86,2933,247
"Baranów Sandomierski","tarnobrzeski","podkarpackie",9.15,1477,161
"Barcin","żniński","kujawsko-pomorskie",3.7,7516,2031
"Barczewo","olsztyński","warmińsko-mazurskie",4.58,7472,1631
"Bardo","ząbkowicki","dolnośląskie",4.71,2603,553
"Barlinek","myśliborski","zachodniopomorskie",17.55,13853,789
"Bartoszyce","bartoszycki","warmińsko-mazurskie",11.79,23810,2020
"Barwice","szczecinecki","zachodniopomorskie",7.52,3742,498
"Bełchatów","bełchatowski","łódzkie",34.64,57964,1673
"Bełżyce","lubelski","lubelskie",23.46,6608,282
"Będzin","będziński","śląskie",37.37,57343,1534
"Biała","prudnicki","opolskie",14.72,2454,167
"Biała Piska","piski","warmińsko-mazurskie",3.24,4041,1247
"Biała Podlaska","Biała Podlaska[a]","lubelskie",49.4,57545,1165
"Biała Rawska","rawski","łódzkie",9.53,3206,336
"Białobrzegi","białobrzeski","mazowieckie",7.51,7015,934
"Białogard","białogardzki","zachodniopomorskie",25.73,24368,947
"Biały Bór","szczecinecki","zachodniopomorskie",12.82,2171,169
"Białystok","Białystok[a]","podlaskie",102.13,297288,2911
"Biecz","gorlicki","małopolskie",17.71,4629,261
"Bielawa","dzierżoniowski","dolnośląskie",36.21,30207,834
"Bielsk Podlaski","bielski","podlaskie",27.01,25611,948
"Bielsko-Biała","Bielsko-Biała[a]","śląskie",124.51,171505,1377
"Bieruń","bieruńsko-lędziński","śląskie",40.49,19639,485
"Bierutów","oleśnicki","dolnośląskie",8.36,4935,590
"Bieżuń","żuromiński","mazowieckie",12.07,1875,155
"Biłgoraj","biłgorajski","lubelskie",21.1,26550,1258
"Biskupiec","olsztyński","warmińsko-mazurskie",5,10539,2108
"Bisztynek","bartoszycki","warmińsko-mazurskie",2.16,2417,1119
"Blachownia","częstochowski","śląskie",36.66,9676,264
"Błaszki","sieradzki","łódzkie",1.62,2158,1332
"Błażowa","rzeszowski","podkarpackie",4.23,2148,508
"Błonie","warszawski zachodni","mazowieckie",9.09,12354,1359
"Bobolice","koszaliński","zachodniopomorskie",4.77,4061,851
"Bobowa","gorlicki","małopolskie",7.18,3123,435
"Bochnia","bocheński","małopolskie",29.87,29992,1004
"Bodzentyn","kielecki","świętokrzyskie",8.65,2238,259
"Bogatynia","zgorzelecki","dolnośląskie",59.88,17762,297
"Boguchwała","rzeszowski","podkarpackie",9.11,6096,669
"Boguszów-Gorce","wałbrzyski","dolnośląskie",27.02,15566,576
"Bojanowo","rawicki","wielkopolskie",2.34,2940,1256
"Bolesławiec","bolesławiecki","dolnośląskie",23.57,39084,1658
"Bolków","jaworski","dolnośląskie",7.68,5047,657
"Borek Wielkopolski","gostyński","wielkopolskie",6.29,2523,401
"Borne Sulinowo","szczecinecki","zachodniopomorskie",18.15,4984,275
"Braniewo","braniewski","warmińsko-mazurskie",12.41,17074,1376
"Brańsk","bielski","podlaskie",32.43,3785,117
"Brodnica","brodnicki","kujawsko-pomorskie",23.15,28717,1240
"Brok","ostrowski","mazowieckie",28.06,1955,70
"Brusy","chojnicki","pomorskie",5.2,5209,1002
"Brwinów","pruszkowski","mazowieckie",10.1,13533,1340
"Brzeg","brzeski","opolskie",14.61,36110,2472
